'19718',CDG JP INTERCIT,16
'19713',JP SC EXP      ,34
'19712',BPL JAIPUR EXP ,34
'19711',JP BPL EXP     ,44
'19710',KYQ JP KAVIGURU,37
'19717',JP CDG INTERCIT,16
'19716',LJN JP EXP     ,17
'19715',JP LJN EXP     ,17
'19714',SC JP EXP      ,32
'18242',ABKP DURG PAS E,32
'18240',NGP BILASPUR EX,18
'51118',DHI CSN PASS   ,16
'18241',DURG ABKP EX PA,36
'19409',GORAKHPUR EXP  ,29
'19408',BSB ADI EXP    ,21
'19407',ADI VARANASI EX,21
'17688',MARATHWADA EXP ,25
'19403',SULTANPUR EXP  ,20
'19402',LKO ADI EXP    ,27
'19401',ADI LUCKNOW EXP,27
'00852',BNC BBS SUVIDHA,7
'00851',BNC SUVIDHA SPL,7
'53003',HWH MLDT F PASS,43
'22462',SHRI SHAKTI EXP,9
'12701',HUSAINSAGAR EXP,16
'12703',FALAKNUMA EXP  ,25
'12702',HUSSAINSAGAR EX,17
'12705',GNT SC EXP     ,13
'12704',FALAKNUMA EXP  ,26
'12707',A P SMPRK KRNTI,20
'12706',SC GNT EXP     ,14
'12709',SIMHAPURI EXP  ,17
'12708',AP SMPRK KRANTI,20
'17651',KACHEGUDA  EXP ,21
'17652',KCG MS EXP     ,21
'21108',BSB KURJ LINK E,27
'06335',GHY KCVL SPECIA,58
'22484',JODHPUR EXPRESS,13
'22487',RDP ANVT LINK E,20
'06336',GUWAHATI EXP   ,58
'12019',SHATABDI EXPRES,10
'12018',DEHRADUN SHTBDI,9
'22483',JU GIMB SF EXP ,13
'22482',DEE JU SUP     ,19
'12015',AJMER SHTBDI   ,8
'12014',AMRITSAR SHTBDI,8
'12017',DEHRADUN SHTBDI,9
'12016',AJMER SHTBDI   ,8
'12011',KALKA SHTBDI   ,6
'12010',SHATABDI EXP   ,9
'12013',AMRITSAR SHTBDI,8
'12012',KALKA SHTBDI   ,6
'16381',KANYAKUMARI EXP,65
'19576',NDT OKHA EXP   ,19
'19575',OKHA  NDT EXP  ,19
'16382',CAPE MUMBAI EXP,66
'19573',JAIPUR EXPRESS ,20
'19570',BSB OKHA EXP   ,23
'17250',MACHILIPTNM EXP,19
'17255',NS HYDRABAD EXP,21
'17256',NARASAPUR EXP  ,21
'19578',HAPA TEN EXPRES,28
'15205',CHITRAKUT  EXP ,27
'17032',MUMBAI EXP     ,26
'57478',GTL TPTY PASS  ,32
'17035',KAGHAZNAGAR EXP,14
'17036',KAGHAZNAGAR EXP,14
'15204',LJN BJU EXP    ,38
'17038',BKN SC EXP     ,29
'57477',TPTY GTL PASS  ,32
'22908',HAPA MADGAON EX,18
'22909',BL  PURI S F EX,24
'15206',CHITRAKUT EXP  ,27
'24887',HW BME LINK EXP,41
'22901',UDZ SUPER FAST ,15
'22902',UDZ BDTS SUP   ,16
'18182',CPR TATA EXP   ,37
'22904',BDTS AC S F EXP,8
'22905',OKHA HOWRAH EXP,30
'56909',HOSPET PASSR   ,54
'19011',GUJARAT EXPRESS,28
'15203',BJU LJN EXP    ,37
'11089',BGKTPUNE EXPRES,27
'12129',AZAD HIND EXP  ,31
'12128',INTERCITY EXP  ,6
'12993',GIMB PURI EXP  ,27
'12121',M P SMPRK KRNTI,8
'12123',DECCAN QUEEN   ,6
'12122',M P SMPRK KRNTI,7
'12125',PRAGATI EXPRESS,9
'12124',DECCAN QUEEN   ,5
'12127',INTERCITY EXP  ,7
'12126',PRAGATI EXPRESS,8
'58839',NGP NIR JBP PAS,52
'18452',TAPASWINI EXPRE,44
'18451',TAPASWINI EXPRE,25
'18450',B NATH DHAM EXP,27
'19019',DEHRADUN EXP   ,98
'22874',VSKP DIGHA EXP ,16
'22875',KGP  PRR  EXRES,13
'22876',PRR KGP EXP    ,13
'22877',DGHA PURI EXP  ,13
'22870',VISAKAPATNAM EX,13
'22871',BBS TPTY EXPRES,18
'22872',TPTY BBS  EXP  ,18
'22873',DGHA VSKP EXP  ,16
'22878',PURI DIGHA EXP ,13
'22879',BBS TPTY SUP EX,20
'58114',BSP TATA PASS  ,60
'12235',DBRG NDLS RAJEX,26
'12237',BEGAMPURA EXP  ,11
'12236',NDLS DBRG RJDHN,26
'12231',LKO CDG EXPRESS,15
'12230',LUCKNOW MAIL   ,10
'12232',CDG LKO EXPRESS,15
'12239',JAIPUR DURONTO ,9
'12238',BEGAMPURA EXP  ,11
'14625',FZR INTERCITY  ,16
'14626',DEE INTERCITY  ,16
'58832',CWA RMO NGP PAS,21
'08295',BSP PUNE SPL   ,16
'15719',INTERCITY      ,18
'15716',GARIB NAWAJ EXP,29
'15715',GARIB NAWAJ EXP,30
'15714',INTERCITY EXP  ,19
'15713',INTERCITY EXP  ,19
'15712',KIR HWH EXPRESS,11
'15711',HWH KIR EXPRESS,11
'54811',BPL JU PASS    ,98
'58219',BSP CHRM PASS  ,29
'19404',SLN ADI EXP    ,20
'22813',SRC  PRDP SF EX,12
'24369',TRIBENI EXPRESS,36
'22810',PRDP SF EXP    ,17
'22811',BBS RAJDHANI EX,15
'13052',HOOL EXPRESS   ,10
'13053',HWH SURI EXP   ,7
'13050',ASR HWH EXPRESS,106
'13051',HOOL EXPRESS   ,10
'13054',SURI HWH EXP   ,7
'14710',PURI BKN EXPRES,31
'14711',RKSH SGNR EXP  ,23
'12949',KAVIGURU EXPRES,36
'12948',AZIMABAD EXPRES,20
'14714',JAT SGNR EXP   ,15
'12943',UDYOGKARMI EXP ,11
'12942',PARASNATH EXP  ,36
'12941',BVC ASANSOL EXP,33
'12940',JP PUNE SF EXP ,12
'12947',AZIMABAD EXPRES,20
'12946',SURAT EXPRESS  ,15
'12945',MAHUVA EXPRESS ,25
'12944',UDHYOGKARMI EXP,11
'18637',HTE YPR EXP    ,26
'08501',VSKP SC SPL    ,14
'08502',SC VSKP SPL    ,14
'18632',RNC GARIB NAWAZ,39
'18631',RNC GARIBNWAZ E,39
'18630',NJP RNC EXPRESS,21
'18638',YPR HATIA EXP  ,26
'12491',MOUR DHWAJ EXP ,19
'12490',DDR BIKANER EXP,20
'12492',MAUR DHAWAJ EXP,20
'12495',BKN KOAA SUP EX,21
'15910',AVADH ASSAM EXP,87
'12497',SHANE PUNJAB   ,12
'12496',PRATAP EXPRESS ,21
'12498',SHANE PUNJAB   ,13
'19330',UDZ INDB EXPRES,18
'12068',JAN SHATABDI EX,11
'58529',DURG VSKP PGR  ,62
'54253',PYG LKO PASS   ,31
'22162',RAJYA RANI EXP ,11
'16579',SHIMOGA EXP    ,9
'12833',HOWRAH EXPRESS ,63
'12060',KOTA JANSHTBDI ,10
'12831',BBS  GARIB RATH,15
'12830',BBS CHENNAI EXP,21
'12837',HWH PURI EXP   ,14
'12836',YPR HATIA EXP  ,26
'12835',HTE YPR EXPRESS,25
'12834',HWH ADI EXPRESS,64
'12839',HWH MAS MAIL   ,35
'12838',PURI HWH EXPRES,14
'15280',POORABIYA EXP  ,24
'15043',LJN KGM EXP    ,11
'15047',PURBANCHAL EXP ,19
'15046',GORAKHPUR EXP  ,40
'15045',GKP OKHA EXPRES,39
'05115',CPR SVDKSPL    ,22
'16572',BIDR YPR EXP   ,18
'15049',KOAA  GKP  EXP ,27
'15048',PURVANCHAL EXP ,19
'28182',KIR TATA LNK EX,34
'05116',SVDK CPR SPL   ,22
'16573',PUDUCHERRY EXP ,10
'16570',KCG YPR EXP    ,15
'16571',YPR BIDR EXP   ,18
'22478',JP JU SF EXP   ,10
'22479',JSM BKN EXPRESS,8
'22471',DEE INTERCITY  ,14
'22472',BKN INTERCITY  ,14
'22473',BKN BDTS SF EXP,23
'22474',BDTS BKN SUP EX,23
'22475',BKN CBE AC S F ,34
'22476',BIKANER AC EXP ,36
'22477',JU JP SF EXP   ,10
'07324',UBL MAS EXP    ,18
'07323',MAS HUBLI EXP  ,18
'22679',SVDK PREMIUM EX,7
'19418',ALD ADI EXP    ,20
'19419',MAS ADI EXPRESS,26
'15630',GUWAHATI MS EXP,40
'19410',GKP ADI EXP    ,29
'18112',YPR TATA EXP   ,41
'19412',INTERCITY EXP  ,12
'19413',KOLKATA EXPRESS,35
'19414',KOAA ADI EXPRES,35
'19415',ADI SVDK EXPRES,31
'19416',SVDK ADI EXP   ,31
'19417',ADI ALD EXPRESS,20
'12712',PINAKINI EXP   ,13
'12713',SATAVAHANA EXP ,9
'12710',SIMHAPURI EXP  ,17
'12711',PINAKINI EXP   ,13
'12716',ASR NED EXPRESS,36
'12717',RATNACHALAM EXP,12
'12714',SATAVAHANA EXP ,9
'12715',SACHKHAND EXP  ,37
'19017',SAU JANATA EXP ,30
'12718',RATNACHAL EXP  ,13
'12719',AII HYB SF EXP ,27
'19653',RATLAM AJMER EX,21
'58230',REWA BSP F PASS,38
'19707',ARAVALI EXPRESS,40
'56136',MTP UAM PASSR  ,8
'56137',UAM MTP PASSR  ,8
'56138',ONR UAM PASSR  ,6
'56139',UAM ONR PASSR  ,6
'19708',ARAVALI EXPRESS,40
'19709',KAVI GURU EXP  ,37
'17621',AWB RU EXPRESS ,28
'17620',NED AWB EXP    ,8
'17623',NED BKN EXP    ,29
'17622',RU AWB EXPRESS ,28
'17624',BKN NED EXP    ,29
'57265',VSKP NS PASS   ,29
'57264',NS VSKP PASSR  ,28
'19307',CHANDIGARH EXP ,19
'16714',RMM CHENNAI EXP,20
'16713',RAMESWARAM EXP ,19
'19659',SHM UDZ EXPRESS,24
'12008',SHATABDI EXP   ,3
'12009',SHATABDI EXP   ,9
'12006',KALKA SHTBDI   ,5
'12007',SHATABDI EXP   ,3
'12004',LJN SWRAN SHTBD,7
'12005',KALKA SHTBDI   ,5
'12002',BHOPAL SHTBDI  ,10
'12003',LJN SWRAN SHTBD,7
'12001',NDLS SHATABDI E,11
'19565',UTTARANCHAL EXP,35
'19566',UTTARANCHAL EXP,40
'19567',VIVEK EXP      ,41
'19568',VIVEK EXPRESS  ,41
'19569',OKHA BSB EXPRES,23
'56910',SBC FAST PSGN  ,35
'56912',SBC FAST PSGN  ,36
'13288',SOUTH BIHAR EXP,52
