SSPN,280
BRUD,20
BP  ,120
RUI ,20
KLL ,80
PRP ,120
KAD ,170
SBRA,60
KOTT,10
HNS ,40
VLR ,120
JPH ,100
MBS ,50
JTJ ,1600
KSD ,140
AXA ,20
BIC ,20
RM  ,20
REM ,20
GVMR,20
CKOD,30
KZY ,20
KOTA,1620
VPZ ,20
PAD ,90
LR  ,20
NYY ,140
BSDP,80
DDN ,360
UMR ,380
JRK ,50
HAN ,330
TLH ,180
KXN ,80
PTNR,30
VRB ,10
LM  ,90
JGD ,40
VYN ,40
PRNA,40
TRT ,190
GKC ,70
UMRI,180
KFP ,60
KNHN,20
GDR ,1600
TLHD,340
BHP ,630
MZR ,320
TRTR,140
BMPL,20
GIZ ,20
MGG ,60
CAG ,120
MLU ,10
SLPM,20
TTR ,340
KNHP,40
TLHR,110
JES ,20
BLLI,20
CSN ,450
ACLE,20
TNR ,80
JHJ ,20
RGI ,30
SUA ,20
PCZ ,40
BTX ,40
NKP ,100
LMK ,40
SLD ,80
PPLI,20
BRTK,40
SQL ,20
KFPR,20
BYHA,10
DDP ,20
BAK ,20
PAZ ,140
MXH ,60
KMRD,20
NAD ,1080
BTV ,40
TN  ,100
SVRP,60
GK  ,30
RRI ,80
KBJ ,320
BSRL,20
NSL ,280
APD ,20
BAE ,20
RNBT,20
KRL ,40
KKA ,20
VKN ,140
MLGH,80
GMDA,40
SAGR,40
WSB ,20
AZ  ,290
HDP ,80
GMR ,180
MPLR,20
GAR ,290
CPR ,1210
MPLM,20
MWK ,20
PBA ,40
GGB ,40
MLD ,80
HBD ,490
CJ  ,40
USL ,230
QLN ,1120
UJA ,260
GMD ,20
KGW ,40
INDM,40
PKU ,250
KSRA,240
BLDI,120
DY  ,20
KYQ ,900
ATUL,20
DLR ,130
MKDN,20
DQG ,330
ROP ,60
BIR ,10
PIA ,60
GUU ,20
TXD ,20
GHD ,330
MPL ,100
JACN,20
BSR ,940
MJG ,90
RTM ,1270
BCY ,270
ZB  ,160
MLI ,20
BLL ,40
KKAH,40
CNH ,40
MW  ,170
VEN ,20
GOH ,90
APDJ,280
ATL ,180
HRV ,120
DHT ,40
VAPM,40
GPJ ,20
STPD,30
VAPI,1320
BZLE,90
CAI ,40
BEG ,20
PRNR,20
LGO ,100
HIL ,40
GDM ,20
RQJ ,80
SDGM,20
BAW ,50
ATE ,190
DWG ,50
MDH ,20
NXN ,60
TVL ,80
GNH ,200
UNDI,20
TAE ,20
PNDM,50
PGU ,20
BKPT,20
JHIR,20
BQN ,20
DGHA,160
NDPU,50
KML ,100
KTA ,20
BKP ,990
MKO ,40
JLL ,140
NOL ,50
DIVA,230
KKRM,30
KOHR,20
BKJ ,60
KTO ,60
MID ,90
GJD ,50
BQE ,30
GYN ,320
VS  ,70
PND ,470
STP ,30
MQ  ,80
SPP ,110
TMR ,300
AFK ,440
GHR ,210
BRDA,20
GUG ,20
JNA ,70
DKS ,20
CHP ,70
KEB ,50
LBA ,120
MOTC,30
BMNL,20
NLD ,70
MOTH,100
PPF ,20
NWU ,130
NPW ,60
NNP ,20
MVLK,380
SKF ,20
SBW ,20
G   ,1030
NRW ,290
YGL ,20
MRL ,130
BKN ,540
DMT ,60
KRDH,50
NTW ,20
JTU ,10
TKMY,50
MNDR,70
RBD ,40
